역별 여객수송실적(월),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
연월,역명/열차종별,합계_승차수(명),합계_하차수(명),KTX_승차수(명),KTX_하차수(명),새마을_승차수(명),새마을_하차수(명),무궁화_승차수(명),무궁화_하차수(명)),통근열차_승차수(명),통근열차_하차수(명),누리로_승차수(명),누리로_하차수(명),KTX산천_승차수(명),KTX산천_하차수(명),ITX새마을_승차수(명),ITX새마을_하차수(명),ITX청춘열차_승차수(명),ITX청춘열차_하차수(명),KTX호남_승차수(명),KTX호남_하차수(명)
202002,원주,29401,29163,0,0,39,33,27809,27499,0,0,0,0,0,0,1553,1631,0,0,0,0
202002,반곡,1317,1187,0,0,0,0,1317,1187,0,0,0,0,0,0,0,0,0,0,0,0
202002,신림,290,310,0,0,0,0,290,310,0,0,0,0,0,0,0,0,0,0,0,0
202002,제천,30538,31178,0,0,36,36,29605,30261,0,0,98,0,0,0,799,881,0,0,0,0
202002,단양,3809,3557,0,0,7,9,3465,3136,0,0,0,0,0,0,337,412,0,0,0,0
202002,희방사,62,205,0,0,0,0,62,205,0,0,0,0,0,0,0,0,0,0,0,0
202002,풍기,3040,2997,0,0,5,1,2798,2677,0,0,0,0,0,0,237,319,0,0,0,0
202002,영주,10901,10796,0,0,146,13,10209,10042,0,0,0,0,0,0,546,741,0,0,0,0
202002,안동,10291,10046,0,0,0,0,10291,10046,0,0,0,0,0,0,0,0,0,0,0,0
202002,의성,2094,1988,0,0,0,0,2094,1988,0,0,0,0,0,0,0,0,0,0,0,0
202002,탑리,355,386,0,0,0,0,355,386,0,0,0,0,0,0,0,0,0,0,0,0
202002,화본,166,135,0,0,0,0,166,135,0,0,0,0,0,0,0,0,0,0,0,0
202002,신녕,62,70,0,0,0,0,62,70,0,0,0,0,0,0,0,0,0,0,0,0
202002,북영천,173,103,0,0,0,0,173,103,0,0,0,0,0,0,0,0,0,0,0,0
202002,영천,17228,16495,0,0,0,0,17228,16495,0,0,0,0,0,0,0,0,0,0,0,0
202002,건천,146,147,0,0,0,0,146,147,0,0,0,0,0,0,0,0,0,0,0,0
202002,서경주,3634,3369,0,0,0,0,3634,3369,0,0,0,0,0,0,0,0,0,0,0,0
